0.2343,0.2988,0.4005,0.4358,0.4388,0.4091,0.5216,0.5955,0.6158,0.5723,0.6508,0.7661,0.8012,0.7494,0.7531,0.8949,0.9447,0.8875,0.8362,0.9556,1.0000,0.9552,0.8617,0.9493,0.8328,0.3602,0.4909,0.7646,0.1717,0.2081,0.3041,0.2580,0.2160,0.1881,0.4050,0.3281,0.2657,0.2280,0.5177,0.4089,0.3297,0.2770,0.6097,0.4854,0.3872,0.3208,0.6990,0.5752,0.4862,0.4042,0.6583,0.4955,0.6203,0.8464,0.8525,0.7611
0.2051,0.2730,0.3189,0.3700,0.4026,0.4084,0.4075,0.5002,0.5688,0.5864,0.5087,0.6479,0.7474,0.7825,0.5931,0.7646,0.8920,0.9364,0.6862,0.8399,0.9552,1.0000,0.7462,0.9132,0.7746,0.3875,0.5527,0.8887,0.1720,0.2231,0.3453,0.2981,0.2477,0.2074,0.4846,0.4008,0.3192,0.2581,0.6382,0.5154,0.4053,0.3186,0.7607,0.6169,0.4801,0.3728,0.8422,0.7050,0.5815,0.4624,0.7475,0.5522,0.6605,0.9592,0.9142,0.7657
0.2067,0.2321,0.3913,0.3657,0.3210,0.2706,0.5357,0.5080,0.4455,0.3628,0.6989,0.6761,0.5897,0.4823,0.8429,0.8290,0.7350,0.6050,0.9580,0.9427,0.8617,0.7462,1.0000,0.9309,0.9585,0.2294,0.2956,0.4975,0.1497,0.1589,0.1997,0.1864,0.1771,0.1792,0.2551,0.2319,0.2201,0.2274,0.3309,0.2950,0.2824,0.2887,0.4115,0.3692,0.3480,0.3485,0.5369,0.4848,0.4690,0.4515,0.6399,0.5645,0.7065,0.6354,0.7788,0.8504
0.1841,0.2252,0.3244,0.3350,0.3263,0.3028,0.4405,0.4706,0.4691,0.4318,0.5801,0.6390,0.6400,0.5968,0.7106,0.7971,0.8123,0.7621,0.8443,0.9267,0.9493,0.9132,0.9309,1.0000,0.9548,0.2745,0.3837,0.6842,0.1476,0.1741,0.2458,0.2246,0.2031,0.1895,0.3403,0.3013,0.2668,0.2469,0.4629,0.4008,0.3534,0.3201,0.5873,0.5100,0.4429,0.3935,0.7320,0.6449,0.5808,0.5106,0.7776,0.6352,0.7789,0.8365,0.9308,0.9087
0.1625,0.1853,0.2949,0.2818,0.2577,0.2304,0.4097,0.3973,0.3672,0.3212,0.5536,0.5507,0.5062,0.4492,0.6961,0.7088,0.6663,0.5951,0.8488,0.8640,0.8328,0.7746,0.9585,0.9548,1.0000,0.2090,0.2849,0.5355,0.1353,0.1496,0.1946,0.1903,0.1865,0.1894,0.2657,0.2555,0.2496,0.2557,0.3670,0.3466,0.3392,0.3416,0.4823,0.4560,0.4384,0.4316,0.6442,0.6069,0.5926,0.5653,0.7811,0.7040,0.8484,0.7102,0.8801,0.9582
0.7230,0.8473,0.5890,0.7287,0.8619,0.9626,0.5056,0.6450,0.7890,0.8928,0.4218,0.5413,0.6489,0.7354,0.3315,0.4169,0.4905,0.5416,0.2764,0.3222,0.3602,0.3875,0.2294,0.2745,0.2090,1.0000,0.9338,0.5625,0.7213,0.8448,0.9587,0.8556,0.7153,0.5797,0.8950,0.7850,0.6400,0.5059,0.7369,0.6473,0.5344,0.4233,0.5394,0.4850,0.4093,0.3326,0.3843,0.3578,0.3234,0.2776,0.2742,0.2287,0.2101,0.3965,0.2950,0.2158
0.5381,0.6826,0.4900,0.6326,0.7772,0.8915,0.4570,0.6197,0.7992,0.9426,0.4178,0.5771,0.7399,0.8799,0.3601,0.4909,0.6216,0.7248,0.3284,0.4116,0.4909,0.5527,0.2956,0.3837,0.2849,0.9338,1.0000,0.7659,0.5353,0.6801,0.8850,0.7671,0.6176,0.4793,0.9417,0.7935,0.6131,0.4559,0.8787,0.7359,0.5688,0.4184,0.7208,0.6145,0.4821,0.3611,0.5498,0.4882,0.4128,0.3298,0.3829,0.2950,0.2862,0.5752,0.4258,0.2999
0.2520,0.3456,0.3053,0.3901,0.4744,0.5397,0.3473,0.4729,0.6116,0.7225,0.3927,0.5551,0.7264,0.8762,0.4185,0.5950,0.7827,0.9385,0.4646,0.6126,0.7646,0.8887,0.4975,0.6842,0.5355,0.5625,0.7659,1.0000,0.2490,0.3424,0.5328,0.4638,0.3759,0.2944,0.7189,0.6031,0.4637,0.3433,0.8717,0.7183,0.5434,0.3905,0.9313,0.7718,0.5827,0.4183,0.8849,0.7597,0.6127,0.4652,0.6823,0.4969,0.5368,0.9355,0.7768,0.5768
0.8481,0.7947,0.5743,0.6021,0.6303,0.6679,0.4455,0.4543,0.4750,0.4923,0.3376,0.3378,0.3329,0.3448,0.2421,0.2374,0.2297,0.2295,0.1892,0.1795,0.1717,0.1720,0.1497,0.1476,0.1353,0.7213,0.5353,0.2490,1.0000,0.9575,0.7845,0.8405,0.8598,0.8478,0.6026,0.6646,0.6980,0.7024,0.4282,0.4827,0.5258,0.5431,0.2818,0.3261,0.3657,0.3899,0.1999,0.2295,0.2628,0.2846,0.1815,0.2028,0.1604,0.1812,0.1595,0.1448
0.7868,0.7980,0.5293,0.5991,0.6747,0.7586,0.4164,0.4673,0.5352,0.6000,0.3230,0.3590,0.3920,0.4416,0.2377,0.2594,0.2783,0.3028,0.1929,0.2000,0.2081,0.2231,0.1589,0.1741,0.1496,0.8448,0.6801,0.3424,0.9575,1.0000,0.9168,0.9469,0.9172,0.8427,0.7599,0.8003,0.7815,0.7166,0.5688,0.6095,0.6110,0.5694,0.3864,0.4240,0.4369,0.4200,0.2690,0.2957,0.3149,0.3141,0.2225,0.2286,0.1831,0.2436,0.1993,0.1654
